commodity,month_num,avg_price
Bananas,1,13.81668939
Bananas,2,15.63895238
Bananas,3,15.48778333
Bananas,4,13.92761111
Bananas,5,15.21188889
Bananas,6,15.21111111
Bananas,7,14.5
Bananas,8,11.82555556
Bananas,9,12.0975
Bananas,10,13.74283333
Bananas,11,13.33652778
Bananas,12,14.69444444
Beans,1,61.16092857
Beans,2,57.26661111
Beans,3,60.33544444
Beans,4,66.37861111
Beans,5,64.0277381
Beans,6,63.12544444
Beans,7,58.34059524
Beans,8,56.09929487
Beans,9,58.75142222
Beans,10,59.30214286
Beans,11,57.30532051
Beans,12,60.86815385
Beans (Dolichos),1,10943.74
Beans (Dolichos),2,10566.048
Beans (Dolichos),3,11698.6125
Beans (Dolichos),4,10756.7
Beans (Dolichos),5,10238.76563
Beans (Dolichos),6,8806.471429
Beans (Dolichos),7,10458.36458
Beans (Dolichos),8,10780.02
Beans (Dolichos),9,11357.8125
Beans (Dolichos),10,11085.1375
Beans (Dolichos),11,10720.75
Beans (Dolichos),12,12508.3
Beans (Dry),1,2666.088206
Beans (Dry),2,2887.626774
Beans (Dry),3,2985.664255
Beans (Dry),4,3614.992195
Beans (Dry),5,3397.514719
Beans (Dry),6,3178.936174
Beans (Dry),7,3198.875094
Beans (Dry),8,3198.144699
Beans (Dry),9,3277.384675
Beans (Dry),10,3068.784785
Beans (Dry),11,3286.77919
Beans (Dry),12,2995.826821
Beans (Kidney),1,6141.166667
Beans (Kidney),2,8502.655
Beans (Kidney),3,7367.375
Beans (Kidney),4,7763.333333
Beans (Kidney),5,7773.75
Beans (Kidney),6,6172.5
Beans (Kidney),7,6750
Beans (Kidney),9,7200
Beans (Kidney),10,7267
Beans (Kidney),11,7313.916667
Beans (Mung),1,9000
Beans (Mung),2,10800
Beans (Mung),3,9600
Beans (Mung),4,9534
Beans (Mung),5,10899
Beans (Mung),6,9218
Beans (Mung),7,11048.75
Beans (Mung),9,10743
Beans (Mung),10,10416
Beans (Mung),11,10731.125
Beans (Rosecoco),1,9267.083333
Beans (Rosecoco),2,10202.125
Beans (Rosecoco),3,10782.97514
Beans (Rosecoco),4,10040.71367
Beans (Rosecoco),5,12186.65667
Beans (Rosecoco),6,10695.09524
Beans (Rosecoco),7,8909.214286
Beans (Rosecoco),8,9409.34
Beans (Rosecoco),9,11272.125
Beans (Rosecoco),10,10419.55833
Beans (Rosecoco),11,7812
Beans (Rosecoco),12,10155.44444
Beans (Yellow),1,10592.87292
Beans (Yellow),2,10755.19167
Beans (Yellow),3,11285.39219
Beans (Yellow),4,10782.42948
Beans (Yellow),5,11598.76459
Beans (Yellow),6,12257.27597
Beans (Yellow),7,11935.43611
Beans (Yellow),8,11729.55833
Beans (Yellow),9,11741.32477
Beans (Yellow),10,10912.8625
Beans (Yellow),11,11032.06771
Beans (Yellow),12,11131.18333
Bread,1,41.85714286
Bread,2,40.93909091
Bread,3,41.75
Bread,4,43.66666667
Bread,5,41.66666667
Bread,6,39.32333333
Bread,7,41.91666667
Bread,8,41.88888889
Bread,9,41.11111111
Bread,10,40.75
Bread,11,41.8
Bread,12,40.4
Cabbage,1,2772.062667
Cabbage,2,3133.338083
Cabbage,3,3084.645729
Cabbage,4,3108.312563
Cabbage,5,2986.796591
Cabbage,6,3311.575
Cabbage,7,3664.305556
Cabbage,8,3589.7165
Cabbage,9,3325.524861
Cabbage,10,3192.083409
Cabbage,11,3144.203333
Cabbage,12,2859.246032
Cooking Fat,1,224.63
Cooking Fat,2,203.3575
Cooking Fat,3,155.9733333
Cooking Fat,4,172.1955556
Cooking Fat,5,165.3333333
Cooking Fat,6,219.65
Cooking Fat,7,199.9042857
Cooking Fat,8,144.905
Cooking Fat,9,194.6855556
Cooking Fat,10,185.85
Cooking Fat,11,203.5833333
Cooking Fat,12,200
Cowpea Leaves,1,48.5
Cowpea Leaves,2,42.33333333
Cowpea Leaves,3,32.16666667
Cowpea Leaves,4,30
Cowpea Leaves,5,25.21428571
Cowpea Leaves,6,17
Cowpea Leaves,7,35.75
Cowpea Leaves,8,30
Cowpeas,1,9459.571429
Cowpeas,2,8734.909667
Cowpeas,3,8042.52619
Cowpeas,4,8701.547917
Cowpeas,5,9109.666667
Cowpeas,6,8349.833333
Cowpeas,7,8250.4375
Cowpeas,8,7007.00625
Cowpeas,9,7196.866667
Cowpeas,10,9022.8
Cowpeas,11,10198.625
Cowpeas,12,9051.5125
"Fish (Omena, Dry)",1,160
"Fish (Omena, Dry)",2,154
"Fish (Omena, Dry)",3,140.5
"Fish (Omena, Dry)",5,164.75
"Fish (Omena, Dry)",6,130
"Fish (Omena, Dry)",7,144
"Fish (Omena, Dry)",8,133
Fuel (Diesel),1,89.4975
Fuel (Diesel),2,86.165
Fuel (Diesel),3,97.34333333
Fuel (Diesel),4,89.06666667
Fuel (Diesel),5,90.6
Fuel (Diesel),6,104.16
Fuel (Diesel),7,99.09
Fuel (Diesel),8,91.4
Fuel (Diesel),9,94.52
Fuel (Diesel),10,101.96
Fuel (Diesel),11,95.445
Fuel (Diesel),12,94.9425
Fuel (Kerosene),1,81.64
Fuel (Kerosene),2,61.18666667
Fuel (Kerosene),3,65.62666667
Fuel (Kerosene),4,66.965
Fuel (Kerosene),5,66.2975
Fuel (Kerosene),6,68.57
Fuel (Kerosene),7,77.595
Fuel (Kerosene),8,78.862
Fuel (Kerosene),9,86.4275
Fuel (Kerosene),10,77.4975
Fuel (Kerosene),11,92.68333333
Fuel (Kerosene),12,84.11333333
Fuel (Petrol-Gasoline),1,96.425
Fuel (Petrol-Gasoline),2,100.09
Fuel (Petrol-Gasoline),3,100.6825
Fuel (Petrol-Gasoline),4,94.77
Fuel (Petrol-Gasoline),5,95.0225
Fuel (Petrol-Gasoline),6,99.724
