commodity,month,avg_price
Bananas,8/1/2020,8
Bananas,1/1/2021,13.22875
Bananas,2/1/2021,13.49666667
Bananas,3/1/2021,11.6635
Bananas,4/1/2021,12.95083333
Bananas,5/1/2021,11.979
Bananas,6/1/2021,12.3
Bananas,7/1/2021,13
Bananas,8/1/2021,12.47666667
Bananas,9/1/2021,11.695
Bananas,10/1/2021,11.7625
Bananas,11/1/2021,11.73
Bananas,12/1/2021,10
Bananas,1/1/2022,13.24636364
Bananas,2/1/2022,16.66666667
Bananas,3/1/2022,10
Bananas,11/1/2022,10
Bananas,1/1/2023,13.33333333
Bananas,2/1/2023,17.5
Bananas,3/1/2023,20
Bananas,4/1/2023,14.832
Bananas,5/1/2023,13.65666667
Bananas,6/1/2023,20
Bananas,7/1/2023,15.5
Bananas,10/1/2023,14.466
Bananas,11/1/2023,15.505
Bananas,12/1/2023,16.08333333
Bananas,1/1/2024,15.275
Bananas,2/1/2024,13.15
Bananas,3/1/2024,16.81666667
Bananas,4/1/2024,14
Bananas,5/1/2024,20
Bananas,6/1/2024,13.33333333
Bananas,7/1/2024,15
Bananas,8/1/2024,15
Bananas,9/1/2024,12.5
Bananas,10/1/2024,15
Bananas,11/1/2024,16.11111111
Bananas,12/1/2024,18
Bananas,1/1/2025,14
Bananas,2/1/2025,17.38142857
Bananas,3/1/2025,18.95875
Beans,1/1/2006,42.59
Beans,2/1/2006,47.1
Beans,3/1/2006,44.69
Beans,4/1/2006,47.85
Beans,5/1/2006,47.68333333
Beans,6/1/2006,39.21333333
Beans,7/1/2006,34.77
Beans,8/1/2006,29.99
Beans,9/1/2006,33.26666667
Beans,10/1/2006,33.37
Beans,11/1/2006,29.9
Beans,12/1/2006,37.735
Beans,1/1/2007,36.67333333
Beans,2/1/2007,32.915
Beans,3/1/2007,38.23333333
Beans,4/1/2007,35.25
Beans,5/1/2007,45.85
Beans,6/1/2007,34.78
Beans,7/1/2007,41.83
Beans,8/1/2007,39.6
Beans,9/1/2007,41.3975
Beans,10/1/2007,44.77
Beans,11/1/2007,43.24666667
Beans,12/1/2007,47.775
Beans,1/1/2008,43.48333333
Beans,2/1/2008,45.925
Beans,3/1/2008,49.78
Beans,4/1/2008,68.95666667
Beans,5/1/2008,57.29
Beans,6/1/2008,53.38333333
Beans,7/1/2008,56.34333333
Beans,8/1/2008,53.99
Beans,9/1/2008,54.306
Beans,10/1/2008,53.35
Beans,11/1/2008,62.53
Beans,12/1/2008,53.604
Beans,1/1/2009,59.205
Beans,2/1/2009,63.57666667
Beans,3/1/2009,48.91
Beans,4/1/2009,58.6
Beans,5/1/2009,57.6125
Beans,6/1/2009,53.395
Beans,7/1/2009,46.66666667
Beans,9/1/2009,49.51
Beans,10/1/2009,56.03
Beans,11/1/2009,57.0175
Beans,12/1/2009,58.062
Beans,1/1/2010,63.485
Beans,2/1/2010,47.26666667
Beans,3/1/2010,58.65
Beans,4/1/2010,49.58
Beans,5/1/2010,50.05333333
